PostId,"GROUP_CONCAT(Text SEPARATOR ' ')"
91338,"Strang in Intro. to Applied Mathematics gives a nice presentation on circulant matrices Note: at the time I wrote this answer Denis Serre's answer was temporarily missing an answer to the second part."
91340,"Thank you Byron!  That chapter seems to be exactly what I need."
91345,"This doesn't quite answer the original question. He wanted an example with no topological monoid structure at all. The reals with addition is a contractible topological group and you can add a new isolated point which is an absorbing element and it is a topological monoid of the above sort. But course it doesn't induce the Z/2 structure.  While this doesn't give a space X with has no monoid structre at all it does give a very elementary example where there is no monoid structure compatible with a given monoid structure on $\pi_0$. This avoids all but the simplest parts of the ""equivalence issue"" that Domenico was alluding to. It seems to me to be a satisfactory answer to the question if no one can produce such a space X.  Thanks Tyler! That example perfectly suits me! For my teaching purposes it is even better than a space with no topological monoid structure at all since it allows me to stress on the importance of the fact that a homotopy equivalence of topological spaces is promoted to a equivalence of $A_\"
91346,"What's wrong about just $1$ instead of $\chi(g)$? pm: It doesn't preserve the $k^*$ action so does not lift to PGL. Exactly that doesn't induced a morphism."
91347,"In other words the problem statement as written is incomprehensible. We can try to make some ""educated guesses"" but it'll be much better if you clarify the question yourself.  Exactly what submatrices you want to count? What conditions $u_1$ and $u_2$ have to satisfy? Why after choosing $u_1$ columns you want the next column not to belong to their span? This is the logic I have? Alas the OP seems to have abandoned the thread so I'm voting to close as ""no longer relevant""."
91352,"Steven: Some f.g. assumptions are missing."
91353,"Hi Neil thanks for pointing my attention to that. But I'm not sure that completely solves the question yet: it seems to me the answers there suggest that if such a space X does exist then one of the simplest examples of such a space is likely to be a tree; but it seems that the question whether there actually exist trees with no admissible monoid structure is left open. Or am I missing something? And there is... As it turns out every tree has a monoid structure.  Privilege one monovalent vertex as 1 and identify the edge incident on that vertex as [01].  So we can write the tree as [01]\cup T where T is a tree which intersects [01] at the point 0.  Give each edge of T length 1.  There is a canonical path from any point outside [01] to 0 which has now been given a length.  Let [01] act on itself by multiplication let T * T = 0 and for c in [01] and x in T let cx=xc be the point a distance of c * d(x0) from 0 along the path between 0 and x. I was thinking of finite trees; I guess this works as long as there is "
91354,"Right to the point. That is exactly what I was hoping for. Beautiful;) Glad to have been of use."
91357,"Since the blowing up is Proj of the blowup algebra $A$ which is generated in degree 1 the functor represented is the functor of invertible quotients $L$ of the pullback $f^*I$ of $I$ such that for every integer $n > 1$ the induced surjection $f^*\text{Sym}^n(I) \to L$ factors through $f^*(I^n)$.   Thanks. Can you add this as an answer (it is not just a comment) and provide some details? The map arrow in row 9 isnt reverse?"
91360,"Valerio this is precisely the construction that was linked to in comments above Ah OK. It's such a short construction that I think it takes more time to find the right link copy it... than write it down directly."
91362,"Ok thank you very much Mr Holt. Thank you Mr Holt for precision. I'm interested in this injection for $k$ non archimedean local field. You say that $PGL(2K)$ embeds in $PGL(3K)$ but is it true that $PGL(2nK)$ embeds in $PGL(2n+1K)$ ? I think the embedding $\mathrm{PGL}(2K) \to \mathrm{PGL}(3K)$ can be seen as follows : let $\mathrm{GL}_(2K)$ act naturally on the space of binary quadratic forms over $K$. If $g \in \mathrm{GL}_(2K)$ is such that $Q \circ g =\lambda Q$ for every binary quadratic form $Q$ then by taking squares of linear forms we see that $g$ fixes every elements of $\mathbf{P}^1(K)$ so that $g$ is scalar. Rajkarov: No. For example ${\rm PGL}(53)$ has no subgroup isomorphic to ${\rm PGL}(43)$. The 2- to 3-dimensional embedding is exceptional."
91365,"If you want it for *every* $g$ you are out of luck because then the shift must be continuous in $L^p(w)$ which happens only if $w$ is essentially constant (the minimum is comparable to the maximum). Whops I should have said it more clearly... no for me $g$ is of a particular form. A usefull (for me) example could be $g=1/z$ (after identifying $\mathbb{R}^2$ with $\mathbb{C}$). An interesting class of weights $w>0$ for functions on $\mathbb R^n$ are the so called $v$-moderate weights that satisfy $w(x+y) \leq C v(x) w(y)$ for all $xy \in \mathbb R^n$ for some constant $C>0$. Here $v>0$ is another weight often chosen as submultiplicative. Then it follows from the unweighted Young's inequality that $L_w^p * L_v^1 \subseteq L_w^p$. For more on this have a look at
http://www.univie.ac.at/nuhag-php/bibtex/open_files/grXX_weights.pdf"
91366,"Thank you......"
91370,"Thanks for the remark about the choice of ""complementary subgroup""; it clarified things for me.  But I still don't see the surjectivity of the map from the surreals to the surcomplex unit circle.  I agree that in non-standard analysis there's a transfer principle but surreal analysis is different from NSA (I'll start a new thread on this: http://mathoverflow.net/questions/91646/surreal-numbers-vs-non-standard-analysis) and in any case it's not clear to me that bracket-based definitions of sin and cos are first-order. I don't even know what bracket-based definitions of sin and cos are.  In ONAG Conway only remarks that the obvious ones don't work. How do we know the map is surjective?"
91371,"Very interesting question!"
