PostId,"GROUP_CONCAT(Text SEPARATOR ' ')"
88576,"Yes $F$ is self-similar exactly as Anton described.  Writing $F_{10} = \{x\in F \mid x_0=1 x_1=0\}$ and $F_0 = \{x\in F \mid x_0 = 0\}$ we have $F = F_{10} \cup F_0$.  Furthermore $F_0$ is a rescaling of $F$ with coefficient $\frac 13$ and $F_{10}$ is a rescaling of $F$ with coefficient $\frac 19$.  (This is just a fleshed-out version of Anton's comment.) The self-similar mappings are $F_{10} \to F$ $x\mapsto 9x - 6$ and $F_0 \to F$ $x\mapsto 3x$. Maybe I should clarify my follow up question: is $F$ in question a self-similar set? If so what are the self-similar mappings? Presumably the subscript $n$ on the last $x$ should be $n+1$.  Then at stage $n$ of the usual middle-thirds construction of the Cantor set when you have $2^n$ intervals of length $1/3^n$ each the number of those intervals that meet $F$ is the $n$-th Fibonacci number (if you index the Fibonacci numbers appropriately) which is asymptotically a constant time $\phi^n$ where $\phi$ is the golden ratio $(1+\sqrt 5)/2$.  So I'd expect the Hausdorff"
88581,"Vaughn thanks. The wikipedia reference is very much in the direction I was looking for. I also edited as you observed. 
 I guess you mean that $\theta$ can depend on $z$?  (Rather than on $\theta$.) Also your original rotation should be $f(z) = e^{i\theta} z$ and I assume that in your definition of a new map $f$ you want $f(z) = e^{i\theta(z)} z$. If I understand your definition then this is an incredibly large class of systems and there's essentially no hope of a complete answer.  Two remarks jump out:  (1) to talk about ergodicity you need an invariant measure.  A more meaningful question might be whether or not $f$ is *uniquely* ergodic.  (2) the maps you define are degree 1 maps of the circle.  If you put a few more restrictions on $z$ so that they must be homeomorphisms then there's a very rich theory of orientation preserving homeomorphisms of the circle. See http://en.wikipedia.org/wiki/Rotation_number for instance. Also http://en.wikipedia.org/wiki/Circle_map gives some idea of the richness of behavio"
88587,"Please see the FAQ for this site which suggests other places which might be more appropriate for your question."
88588,"Didier: The main reason is that MO is meant to be a resource of useful information. This question requests a big list of useless information... Also zero-insight proofs are not very hard to find. As Joel observed proofs by contradiction almost always provide no insight. this should be community wiki I rarely vote down a post but I did on this one. If I could I would also vote to close and delete... A related issue arises in  http://mathoverflow.net/questions/12342/reductio-ad-absurdum-or-the-contrapositive/12400#12400. François: Thanks for the explanation. Naively I thought that the question could be modified from asking for a list of examples (not very interesting) to asking for a description of the specific aspects if any exist of the results proved by so-called zero-insight proofs. Having said that since I cannot be more specific this is probably not a very productive idea. Anyway thanks again. François: A detailed explanation of the reasons why this question raises your wrath like it seemingly does woul"
88592,"Take your favorite wavelet basis for $L^2(\mathbb R)$.  You can construct a basis for $L^2[0\infty)$ using the procedure described in Daubechies ""Ten Lectures on Wavelets"" pages 334-335. WilliamDeMeo Thanks for the precise reference."
88598,"When I tried to right-click on the title (while in the list of recent questions) to open the question in a new tab I was only offered to be shown the TeX source of the formula (MathJax huh?) so maybe it is NOT a very good idea to have titles consisting of formulas only? I will fix it now hope you don't mind."
88601,"Ok here's a hint.  Why do you care whether the linear factors are real? Check the FAQ: this site is for mathematical research questions not for homework. hi angelo..i know that ....but i've been trying this problem for over a week..with no help whatsoever...this is NOT a homework problem...i know u guys are all hi-profile researchers and stuff.. but it wouldn't hurt much if you could just spill out a passing hint or show some light to me ..Plzzz! This site is not for this kind of question. The FAQ suggests other places you might try. MO is not for teaching assistance http://math.stackexchange.com/questions?sort=newest if you have a decomposition in complex linear fractions you can get a decomposition in real quadratic fractions just summing pairs of conjugate terms. Check http://en.wikipedia.org/wiki/Partial_fractions_in_integration "
88605,"Where did you come across the problem? See http://mathoverflow.net/faq#whatnot Well-known NP-complete problem. don't do it exactly search for ""approximate nearest neighbors"" ""locality sensitive hashing"" ""metric ball trees"" etc."
88608,"This chain condition is called ""dually slender"" and was already discussed on MO: http://mathoverflow.net/questions/59282/sums-compact-objects-f-g-objects-in-categories-of-modules . The counterexample mentioned my a-fortiori also appears there. Thanks! (I didn't look into that discussion when it was new and it didn't show up automatically when I posted this question.) It is exactly what I was after."
88609,"I am concern with the case when $\Sigma$ is a torus $S^1 \times S^1$. I edited the statement to this case. Thanks. I don't understand. Why do you introduce the action on homology? The mapping class group is not defined using homology."
