PostId,"GROUP_CONCAT(Text SEPARATOR ' ')"
88575,"Thanks for the comments; perhaps this is another way of stating my question: The structure of $k[U]_L$ as a $U$-module can be fruitfully analyzed by a construction involving $G$-modules so can a similar thing be done to understand $k[U]_C$? In fact the paper of Joseph that I link to above shows that $k[U]_L$ even has the structure of a module for the hyperalgebra of $G$ compatible with the $U$-module structure (the dual zero Verma structure) although I don't expect such a thing occurs for $k[U]_C$.
(cont'd) (cont'd) In the case of $SL_2$ the construction of Kumar shows that each standard module for $G$ (which in this case is just characterized by its dimension) occurs naturally as a $U$-submodule of $k[U]_L$. I would like to know if something equally nice happens for $k[U]_C$. Look at Kostant's paper that I mentioned above - he does exactly what you want for the $U$-invariants in $k[U]_C$. Ah okay -- thanks!"
88576,"Yes $F$ is self-similar exactly as Anton described.  Writing $F_{10} = \{x\in F \mid x_0=1 x_1=0\}$ and $F_0 = \{x\in F \mid x_0 = 0\}$ we have $F = F_{10} \cup F_0$.  Furthermore $F_0$ is a rescaling of $F$ with coefficient $\frac 13$ and $F_{10}$ is a rescaling of $F$ with coefficient $\frac 19$.  (This is just a fleshed-out version of Anton's comment.) The self-similar mappings are $F_{10} \to F$ $x\mapsto 9x - 6$ and $F_0 \to F$ $x\mapsto 3x$. Maybe I should clarify my follow up question: is $F$ in question a self-similar set? If so what are the self-similar mappings? Presumably the subscript $n$ on the last $x$ should be $n+1$.  Then at stage $n$ of the usual middle-thirds construction of the Cantor set when you have $2^n$ intervals of length $1/3^n$ each the number of those intervals that meet $F$ is the $n$-th Fibonacci number (if you index the Fibonacci numbers appropriately) which is asymptotically a constant time $\phi^n$ where $\phi$ is the golden ratio $(1+\sqrt 5)/2$.  So I'd expect the Hausdorff"
88578,"Thanks Vaughn a direct explicit reference is exactly what we needed here! -Doug Thanks! that was exactly what I was looking for."
88579,"Would you mind clarifying whether the set $F$ is self-similar or not? Thanks for putting things into a broader perspective~"
88581,"Vaughn thanks. The wikipedia reference is very much in the direction I was looking for. I also edited as you observed. 
 I guess you mean that $\theta$ can depend on $z$?  (Rather than on $\theta$.) Also your original rotation should be $f(z) = e^{i\theta} z$ and I assume that in your definition of a new map $f$ you want $f(z) = e^{i\theta(z)} z$. If I understand your definition then this is an incredibly large class of systems and there's essentially no hope of a complete answer.  Two remarks jump out:  (1) to talk about ergodicity you need an invariant measure.  A more meaningful question might be whether or not $f$ is *uniquely* ergodic.  (2) the maps you define are degree 1 maps of the circle.  If you put a few more restrictions on $z$ so that they must be homeomorphisms then there's a very rich theory of orientation preserving homeomorphisms of the circle. See http://en.wikipedia.org/wiki/Rotation_number for instance. Also http://en.wikipedia.org/wiki/Circle_map gives some idea of the richness of behavio"
88583,"Ah so simple! Seeing how this is a Vitali style argument my next question would have to be obvious: what happens when we remove the axiom of choice so the Vitali argument fails?  The argument doesn't seem to use AC since I'm not picking representatives here but using only the transcendence of the new reals over the ground model field. So perhaps it works fine as-is? Instead of powers you could also use multiples of the new real.

Or you can appeal to the [Hewitt-Savage 01-1-law](http://en.wikipedia.org/wiki/Hewitt–Savage_zero-one_law) which says that any measurable tail set must have measure 1 or measure 0. (A tail set in $X \subseteq 2^\omega$ is one that is closed under rational translations i.e. $X+s=X$ for all finite sequences $s$.)  The same argument shows that any filter extending the Frechet filter must have measure 0 or be non-measurable. "
88586,"Thank you. I wonder whether Frobenius splitting can be helpful here -
it does prove everything for $q=0$ (and $q=\dim X$ is the usual Kodaira vanishing)."
88587,"Please see the FAQ for this site which suggests other places which might be more appropriate for your question."
88588,"Didier: The main reason is that MO is meant to be a resource of useful information. This question requests a big list of useless information... Also zero-insight proofs are not very hard to find. As Joel observed proofs by contradiction almost always provide no insight. this should be community wiki I rarely vote down a post but I did on this one. If I could I would also vote to close and delete... A related issue arises in  http://mathoverflow.net/questions/12342/reductio-ad-absurdum-or-the-contrapositive/12400#12400. François: Thanks for the explanation. Naively I thought that the question could be modified from asking for a list of examples (not very interesting) to asking for a description of the specific aspects if any exist of the results proved by so-called zero-insight proofs. Having said that since I cannot be more specific this is probably not a very productive idea. Anyway thanks again. François: A detailed explanation of the reasons why this question raises your wrath like it seemingly does woul"
88592,"Take your favorite wavelet basis for $L^2(\mathbb R)$.  You can construct a basis for $L^2[0\infty)$ using the procedure described in Daubechies ""Ten Lectures on Wavelets"" pages 334-335. WilliamDeMeo Thanks for the precise reference."
88596,"Little correction: you have to take $GL$ and $\mathfrak{gl}$ since determinants do not exist for matrices over skew-fields. Johannes there is the extended notion of ""reduced norm"" (and ""reduced trace"") for simple algebras which allows us to define $SL$ and $\mathfrak sl$ but I should have changed it to $GL$ since that is what the OP asks for (though I don't think the difference is worth editing in). "
88597,"This is interesting thank you."
88598,"When I tried to right-click on the title (while in the list of recent questions) to open the question in a new tab I was only offered to be shown the TeX source of the formula (MathJax huh?) so maybe it is NOT a very good idea to have titles consisting of formulas only? I will fix it now hope you don't mind."
88599,"That is a pretty cool way of thinking about it. I never thought about fuzz before... I second Frank Thorne's comment! This is a really cool point of view. :) It confuses me though when you say ""you can pretend [real numbers] are points on a line."" If you have a straight line drawn on a plane with two points marked ""zero"" and ""one"" you can do addition and multiplication with a compass and straightedge so I find it hard to escape the conclusion that a line with two marked points is a field... and surely you can prove that this field is isomorphic to the field of Cauchy sequences of rational numbers? I just love this. It's quite encouraging to me that your students do too! Vectornaut: But there is no concept of motion on a set of points (implicitly given the discrete topology). This is Fletcher's Paradox one of the Zeno paradoxes. http://en.wikipedia.org/wiki/Zeno's_paradoxes#The_arrow_paradox So real numbers aren't points on a line at all- they're interlocking fuzz on the line the ""fuzz"" being the topology if o"
88601,"Ok here's a hint.  Why do you care whether the linear factors are real? Check the FAQ: this site is for mathematical research questions not for homework. hi angelo..i know that ....but i've been trying this problem for over a week..with no help whatsoever...this is NOT a homework problem...i know u guys are all hi-profile researchers and stuff.. but it wouldn't hurt much if you could just spill out a passing hint or show some light to me ..Plzzz! This site is not for this kind of question. The FAQ suggests other places you might try. MO is not for teaching assistance http://math.stackexchange.com/questions?sort=newest if you have a decomposition in complex linear fractions you can get a decomposition in real quadratic fractions just summing pairs of conjugate terms. Check http://en.wikipedia.org/wiki/Partial_fractions_in_integration "
88602,"Right. I should have thought of that. Thanks for this answer! Another view on B: Actually $C$ is a coreflective subcategory of the category of $R$-modules equipped with some endomorphism the coreflector is $(Mf) \mapsto (M\cup_n \mathrm{ker}(f^n))$. Thus limits in $C$ may be computed by taking the coreflectors of the limits in the larger category."
88605,"Where did you come across the problem? See http://mathoverflow.net/faq#whatnot Well-known NP-complete problem. don't do it exactly search for ""approximate nearest neighbors"" ""locality sensitive hashing"" ""metric ball trees"" etc."
88606,"Pleasure to be able to help. I do remember meeting you in Barcelona - it's cool that it seems you've been thinking about Bousfield classes since then. Yeah absolutely. I'm working a little minor project with them right now actually. Hopefully I can actually figure something out! Wow thanks very much Greg. Do you recall meeting in Barcelona? Your answer clears up a lot of my confusion. "
88608,"This chain condition is called ""dually slender"" and was already discussed on MO: http://mathoverflow.net/questions/59282/sums-compact-objects-f-g-objects-in-categories-of-modules . The counterexample mentioned my a-fortiori also appears there. Thanks! (I didn't look into that discussion when it was new and it didn't show up automatically when I posted this question.) It is exactly what I was after."
88609,"I am concern with the case when $\Sigma$ is a torus $S^1 \times S^1$. I edited the statement to this case. Thanks. I don't understand. Why do you introduce the action on homology? The mapping class group is not defined using homology."
88610,"Thanks! Looks already pretty big compared with what I had tried so far."
88611,"Uday: The upper limit is $x$. Pietro: This was indeed inspired by the LU decomposition. I'm wondering how to construct the analogous functional form of the decomposition. So you want a continuous analog of the decomposition of matrices into lower and upper triangular matrices. I'm not a specialist but it seems to me that for reasonably nice kernels (e.g. Hilbert-Schmidt) the natural approach should be: pass to the limit in the decomposition for finite dimensional approximations and show that the sequence of factors admits a converging subsequence.   Pietro Majer: Matrixes can not be decomposed in a product of upper triangular and lower triangular matrices (look up Bruhat decomposition). You have to allow permutation matrices. But nice interpretation of the question. Is the upper limit of the inner integral $x$ or $u.$ ? "
88613,"Thank you Mark interestingly enough I've been reading recently about the homology of the group of upper uni-triangular matrices with integer coefficients."
88616,"Thanks Fredrik Johansson. :-)
"
88618,"That's not quite what I'm looking for. I'd like to describe the set of complements and not have to create new definitions by myself."
88620,"My impression is that Iserles and his coauthors have worked extensively on this - have you tried looking up his papers? You also might want to check out this article: [Unitary integrators and applications to continuous orthonormalization techniques](http://www.jstor.org/pss/2158162) by Dieci Russell and van Vleck."
88624,"I have had three interesting answers until now (not being ruled out that there are others in the future) meanwhile I have thought to accept the one giving more details and more supporting references. Despite the apparent simplicity of the question I think this is a very good question for this site."
88625,"Oh Alejandro! You saved my life! This example is so great! Thank you!"
88628,"Sergey: Truly great work! Thank you so much.

I am still thinking about the details. In the meantime just a few remarks.

1) If I understand the example correctly to make `$Q_k$` contractible it seems that you want to start with `$(Q_1\partial Q_1)=(D^2\partial D^2)$` (instead of `$(Q\partial Q)$`). This change doesn't make much difference other than ensuring that `$Q_k$` and `$Q_\infty$` are contractible and either possibility seems to give an answer to my question.
 [continuation of comment]

2) The part about collapsing `$D^2\times [01]$` mapping onto $Q$ does not seem to work unless you replace `$Q$` by `$Q_2$` and only after implementing the change I mentioned in (1).

3) The numbers seem to be a little off in the last paragraph.

Sorry about the nitpicking. I am just trying to make sure I understand the example correctly by working out the kinks. I do have two vague questions though. Did the inspiration for `$Y$` come only from the example of Borsuk-Mazurkiewicz? Any advice on how to find relevant examp"
88629,"Ah but in a positive density of such p's? Dror: No. If f does not have CM there are only finitely many p for which the residual representation is small in the above sense. I learned this from pages 4-5 of an article of Ribet: http://math.berkeley.edu/~ribet/Articles/rankin.pdf. His method seems somewhat qualitative but the remark at the top of page 6 suggests that one might be able to get more precise control on these primes at least when $p>k+1$ and does not divide the level. Thanks all. Hi Kevin does this finite set of primes consist of those that divide the level of the form? If not what do we know about this set?"
